P,K,BouQp,BohQp,BouTp,BohTp
5,5,1913,1558,1314,1181
5,10,1959,1522,1173,1067
5,25,2080,1472,973,929
5,50,1877,1459,829,805
5,100,1716,1482,751,672
5,150,1681,1517,732,588
5,250,1659,1588,721,494
5,350,1616,1642,725,439
10,5,1903,1555,1308,1175
10,10,1962,1531,1170,1066
10,25,2151,1507,975,930
10,50,1950,1472,826,807
10,100,1784,1489,729,674
10,150,1748,1530,716,592
10,250,1716,1575,692,491
10,350,1638,1629,695,435
25,5,1906,1559,1309,1176
25,10,1990,1528,1172,1067
25,25,2234,1545,977,928
25,50,2123,1507,825,810
25,100,1928,1487,707,673
25,150,1836,1519,666,590
25,250,1843,1578,662,489
25,350,1917,1620,654,437
50,5,1916,1556,1312,1177
50,10,1962,1525,1172,1069
50,25,2288,1543,978,929
50,50,2417,1561,824,810
50,100,2266,1497,690,669
50,150,2134,1500,651,590
50,250,1942,1553,612,490
50,350,2183,1603,610,439
75,5,1923,1562,1314,1174
75,10,1992,1528,1174,1067
75,25,2249,1539,980,928
75,50,2438,1561,826,809
75,100,2518,1540,684,673
75,150,2424,1511,633,590
75,250,2429,1548,594,492
75,350,2083,1590,581,440
100,5,1913,1561,1311,1173
100,10,1971,1535,1171,1069
100,25,2257,1546,980,927
100,50,2543,1564,825,808
100,100,3019,,680,
100,150,2316,1518,616,590
100,250,2431,1530,572,490
100,350,2183,1583,556,440